"dip","noisef","nrange","a","dfend","Lhistory","LStablehistory","nrdatamonitor","Tsim","Tmon","Dsim","Dmon","sn"
-0.5,0,0.1,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.999994440486765
-0.5,0,0.1,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,0.999994440486765
-0.5,0,0.1,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,0.999994440486765
-0.5,0,0.1,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,0.999994440486765
-0.5,0,0.1,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,0.999994440486765
-0.5,0,0.1,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,0.999994440486765
-0.4,0,0.1,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.999994440486738
-0.4,0,0.1,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,0.999994440486738
-0.4,0,0.1,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,0.999994440486738
-0.4,0,0.1,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,0.999994440486738
-0.4,0,0.1,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,0.999994440486738
-0.4,0,0.1,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,0.999994440486738
-0.3,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.997592707038324
-0.3,0,0.1,0.1,12,146,146,2,147,148,2006.47826086957,2006.52173913043,0.997592707038324
-0.3,0,0.1,0.1,12,146,146,3,147,148,2006.47826086957,2006.52173913043,0.997592707038324
-0.3,0,0.1,0.1,12,146,146,4,147,148,2006.47826086957,2006.52173913043,0.997592707038324
-0.3,0,0.1,0.1,12,146,146,5,147,148,2006.47826086957,2006.52173913043,0.997592707038324
-0.3,0,0.1,0.1,12,146,146,6,147,148,2006.47826086957,2006.52173913043,0.997592707038324
-0.2,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.999994440486748
-0.2,0,0.1,0.1,12,146,146,2,147,148,2006.47826086957,2006.52173913043,0.999994440486748
-0.2,0,0.1,0.1,12,146,146,3,147,148,2006.47826086957,2006.52173913043,0.999994440486748
-0.2,0,0.1,0.1,12,146,146,4,147,148,2006.47826086957,2006.52173913043,0.999994440486748
-0.2,0,0.1,0.1,12,146,146,5,147,148,2006.47826086957,2006.52173913043,0.999994440486748
-0.2,0,0.1,0.1,12,146,146,6,147,148,2006.47826086957,2006.52173913043,0.999994440486748
-0.1,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.742178218742765
-0.1,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,0.742178218742765
-0.1,0,0.1,0.1,12,146,146,3,147,NA,2006.47826086957,NA,0.742178218742765
-0.1,0,0.1,0.1,12,146,146,4,147,NA,2006.47826086957,NA,0.742178218742765
-0.1,0,0.1,0.1,12,146,146,5,147,NA,2006.47826086957,NA,0.742178218742765
-0.1,0,0.1,0.1,12,146,146,6,147,152,2006.47826086957,2006.69565217391,0.742178218742765
0,0,0.1,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.998526632214415
0,0,0.1,0.1,12,146,146,2,147,NA,2006.47826086957,NA,0.998526632214415
0,0,0.1,0.1,12,146,146,3,147,NA,2006.47826086957,NA,0.998526632214415
0,0,0.1,0.1,12,146,146,4,147,NA,2006.47826086957,NA,0.998526632214415
0,0,0.1,0.1,12,146,146,5,147,NA,2006.47826086957,NA,0.998526632214415
0,0,0.1,0.1,12,146,146,6,147,NA,2006.47826086957,NA,0.998526632214415
-0.5,0.5,0.1121,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.931768094040395
-0.5,0.5,0.1121,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,0.931768094040395
-0.5,0.5,0.1121,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,0.931768094040395
-0.5,0.5,0.1121,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,0.931768094040395
-0.5,0.5,0.1121,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,0.931768094040395
-0.5,0.5,0.1121,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,0.931768094040395
-0.4,0.5,0.1118,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.930905060015964
-0.4,0.5,0.1118,0.1,12,146,146,2,147,148,2006.47826086957,2006.52173913043,0.930905060015964
-0.4,0.5,0.1118,0.1,12,146,146,3,147,148,2006.47826086957,2006.52173913043,0.930905060015964
-0.4,0.5,0.1118,0.1,12,146,146,4,147,148,2006.47826086957,2006.52173913043,0.930905060015964
-0.4,0.5,0.1118,0.1,12,146,146,5,147,148,2006.47826086957,2006.52173913043,0.930905060015964
-0.4,0.5,0.1118,0.1,12,146,146,6,147,148,2006.47826086957,2006.52173913043,0.930905060015964
-0.3,0.5,0.1134,0.1,12,146,146,1,147,147,2006.47826086957,2006.47826086957,0.892991421210597
-0.3,0.5,0.1134,0.1,12,146,146,2,147,147,2006.47826086957,2006.47826086957,0.892991421210597
-0.3,0.5,0.1134,0.1,12,146,146,3,147,147,2006.47826086957,2006.47826086957,0.892991421210597
-0.3,0.5,0.1134,0.1,12,146,146,4,147,147,2006.47826086957,2006.47826086957,0.892991421210597
-0.3,0.5,0.1134,0.1,12,146,146,5,147,147,2006.47826086957,2006.47826086957,0.892991421210597
-0.3,0.5,0.1134,0.1,12,146,146,6,147,147,2006.47826086957,2006.47826086957,0.892991421210597
-0.2,0.5,0.1174,0.1,12,146,146,1,147,NA,2006.47826086957,NA,0.816586859870475
